premise	hypo	label
Quy tắc chứa các yêu cầu bộ sưu tập thông tin mà sẽ cho phép epa xác định rằng phụ gia chất tẩy có hiệu quả trong việc kiểm soát tiền gửi được sử dụng và phát ra các mục tiêu kiểm soát được nhận ra .	Quy tắc có các yêu cầu bộ sưu tập dữ liệu giúp bảo vệ epa nhận ra mục tiêu kiểm soát phát ra của họ .	entailment
Hầu như tất cả các ngọn đồi đã đến phía đông bắc có một pháo đài moorish ; không ít hơn bốn pháo đài bị phá hủy ở cổng cảng ; và hai người nữa , vẫn còn trong việc sửa chữa các lâu đài atalaya và các lâu đài galeras bảo vệ kho vũ khí biển phía trước , quan trọng của sự quan trọng của tây ban quân đội .	Không có lâu đài atalaya và galeras .	contradictory
Họ có ở trong đó không ?	Đáng lẽ họ phải ở trong đó chứ ?	neutral
Hành trình của felicia diễn ra phía sau đôi mắt của trung tâm một cô gái ireland trẻ , felicia , người đã vượt biển đến nước anh trong một cuộc tìm kiếm đầy hy vọng để tìm ra cha của đứa trẻ thai nhi của cô ấy ; và người quản lý phục vụ béo , trung niên , hiditch , ai hãy quan tâm đến cô gái khi nó trở nên rõ ràng rằng người đàn ông trẻ của cô ấy đã làm cho cô ấy bị trượt .	Người phụ nữ đó không quan tâm người đàn ông đó ở đâu miễn là nó còn xa .	contradictory
Trong hầm mộ được chôn cất những phần còn lại của voltaire và rousseau , Hugo và zola , thủ lĩnh chủ nghĩa xã hội chủ nghĩa jean jaurys , và Louis chữ nổi , nhà phát minh của bảng chữ cái cho người mù .	Phần còn lại của voltaire và rousseau , Hugo và zola , thủ lĩnh chủ nghĩa xã hội chủ nghĩa , jean jaurys , và Louis nổi tiếng đều được chôn cất trong hầm mộ .	entailment
Có một cái ơ một cặp goi um oh tôi sẽ quên tên nó ngay ơ dirkson	Tôi không thể nhớ tên của họ	entailment
Poirot , tôi thét lên , với sự nổi bật , và co giật anh ta bằng cả hai tay , tôi kéo anh ta vào phòng .	Poirot bây giờ đã trở lại và tôi xin lỗi vì ông ấy sẽ tiếp quản những gì tôi đã xem xét điều tra của riêng tôi .	contradictory
Từ aswan thực sự có nghĩa là giao dịch hoặc thị trường trong người ai cập cổ đại , đã có những hoạt động xuất sắc nhất của nó .	Ý nghĩa của aswan đã không thay đổi theo thời gian .	contradictory
Ủa cái gì chợ có thể gấu và	Thị trường không thể chịu được bất cứ điều gì trong đó .	contradictory
Và để chỉ cho thấy những thước đo mới của nhật bản đã được bắt giữ , hai cuộc thám hiểm trừng phạt đã được khởi hành chống lại hàn quốc và trung quốc trong đại diện của 19 thế kỷ 19-Thế kỷ 19	Những thước đo mới của nhật bản đã được bắt đầu nhanh chóng .	entailment
Khi quỹ tin tưởng bắt đầu chạy tiền mặt vào năm 2016 , chính phủ như là một toàn bộ phải có tiền mặt để tài chính của an ninh xã hội tiền mặt bằng cách giảm bất kỳ hệ thống an ninh xã hội nào , vay mượn từ công chúng , quyên góp các thuế khác , hoặc làm giảm chi tiêu của chính phủ khác .	Công chúng thường muốn thấy chính phủ giảm chi tiêu của nó ở các khu vực khác để tài chính an ninh xã hội .	neutral
Những tổ chức này đầu tư thời gian và nỗ lực để hiểu các quy trình của họ và làm thế nào những quy trình đóng góp cho hoặc cản nhiệm vụ thành tựu .	Những tổ chức này đầu tư rất nhiều thời gian để hiểu làm thế nào một số quy trình có thể đóng góp cho hoặc hampe	entailment
Và rất vui được nói chuyện với tất cả mọi người .	Ngày nào tôi cũng nói chuyện với anh .	neutral
Anh có quyền truy cập vào sự thật .	Sự thật có thể tiếp cận được với anh .	entailment
Xây dựng môi trường kỹ thuật sản xuất sản xuất ( tất cả các tỷ lệ tặng ) ( bộ phận sản xuất của sản phẩm )	Đây là bộ sản xuất đầu tiên của sản xuất sản xuất cho sản xuất .	entailment
Miễn là bạn có gia đình riêng của mình , lo lắng về thói quen chi tiêu của hàng xóm của bạn là rất giống như hoảng sợ về màu sắc của cái thảm phòng khách của anh ấy .	Anh nên lo lắng về màu của cái thảm hàng xóm của anh đi .	contradictory
Ừ thì um cũng tất nhiên là họ họ có thể tham gia họ luôn luôn có thể tham gia dịch vụ quân sự mà họ được coi là công dân tôi tin	Họ không thể tham gia dịch vụ quân sự .	contradictory
Cô ấy mỉm cười trở lại .	Cô ấy rất hạnh phúc , cô ấy không thể ngừng cười được .	neutral
Theo văn phòng của văn phòng của các chuyên gia tài chính chăm sóc sức khỏe , giá trị giới thiệu web dự kiến của các nguồn lực bổ sung tương lai cần thiết để quỹ hi lợi một mình trong 75 năm là $ 4 .	The net giới thiệu giá trị của tương lai bổ sung các nguồn lực cho ngân sách hi lợi được $ 4 .	entailment
Vì vậy , với sự tôn trọng của các dịch vụ tranh chấp quốc hội đã được tài trợ , không có kênh thay thế cho ngành công nghiệp của hội nghị vận động đang tìm cách hạn chế .	Đây là kênh duy nhất của biểu hiện của sự ủng hộ mà quốc hội đang tìm kiếm để hạn chế .	entailment
Làm thế nào để chúng tôi sửa chữa nó ? ' ' ' ' '	Chúng ta sửa cái này được không ?	entailment
Nhưng điều đó có quá nhiều kế hoạch .	Nó không có nhiều kế hoạch .	contradictory
Tôi không nhắc đến monica trong bài giảng của tôi , nhưng câu hỏi đầu tiên tôi được hỏi là làm thế nào tổng thống clinton có thể làm công việc của mình với tất cả các sự phân tâm gây ra bởi monica lewinsky ngoại tình .	Họ muốn vượt qua bài giảng mà không có bất kỳ vấn đề gì .	neutral
Phân tích các tài khoản dịch vụ bưu điện cho sự hao hao , nhiên liệu , và bảo trì cho các nhà cung cấp phân phối thành phố , chúng tôi đã dự kiến chi phí giao hàng thành phố trung bình	Ước tính chi phí lái xe có thể được trung bình sẽ có đủ dữ liệu .	neutral
Bởi vì nó chơi trong trí tưởng tượng tuổi thơ của tôi .	Nghệ thuật chơi với trí tưởng tượng trẻ của tôi .	neutral
Nó chậm lại là có rất nhiều máy móc tốt hơn trên thị trường ngay bây giờ cho	Đây là cỗ máy nhanh nhất , anh sẽ không tìm được cỗ máy nào tốt hơn đâu .	contradictory
Ở trái tim của thánh địa , một ngôi đền đá granite nhỏ đã từng tổ chức một chiếc thuyền ba lan thiêng liêng của thần horus .	Horus là một vị thần .	neutral
Hãy xem xét dịch vụ bưu điện hoa kỳ .	Quên dịch vụ bưu điện hoa kỳ đi .	contradictory
Trong bộ trang phục đầy đủ .	Anh ta đang mặc một bộ trang phục linh vật .	neutral
Mặc dù cuộc hành trình của bạn sẽ rất khó khăn và vào thời điểm bạn sẽ nghi ngờ bản thân mình , lợi ích của khách hàng rất đáng giá và sự hài lòng của việc nghe kể cả những điều khó chịu nhất của các đối thủ nói rằng hệ thống mới tốt hơn là người đã đi trước đây là sâu sắc phần thưởng .	Hệ thống mới xuất hiện phức tạp hơn , nhưng cuối cùng cũng dễ dàng hơn và kỹ lưỡng hơn .	neutral
Hãy lấy một số thống kê đáng chú ý rằng shesol cites nhưng cho phép vượt qua tương đối unexamined .	Họ đã có dữ liệu rất phù hợp nhưng đã được sử dụng .	entailment
Nó có thể có vẻ như manna từ thiên đường - lên đến hàng ngàn đô la , thường xuyên bất ngờ , vào tay của một nửa triệu kentucky và indiana cư dân trong tháng này .	Một luật pháp gần đây được cầu hôn bởi quốc hội đã kết thúc trong cơn co giật của hàng ngàn đô la từ các cư dân kentucky .	contradictory
Có những cá nhân để đầu tư thời gian của họ và ngân sách sẽ theo dõi .	Nếu cá nhân sẽ đầu tư thời gian của họ , ngân sách cũng sẽ đi theo .	entailment
Tôi thường nghĩ rằng tôi ước gì tôi có một máy quay video bởi vì tôi có thể chắc chắn sử dụng mười ngàn đô la cho nên nhưng tôi thích những thứ như buổi tối bóng râm với burt reynolds tôi thực sự thưởng thức điều đó và uh	Máy quay video mà tôi cần là rất đắt tiền .	neutral
Người đàn ông trên mặt đất nghĩ đến một khoảnh khắc và kêu gọi trở lại , anh phải làm việc trong quản lý .	Không có ai trên mặt đất , người đàn ông hay người phụ nữ .	contradictory
Tuy nhiên , câu hỏi đánh giá yêu cầu gao báo cáo về sự tiến bộ thỏa mãn là gì hoặc lý do cho các vấn đề trong việc triển khai , càng nhiều nhân viên có thể ở trên trang web theo thời gian , với căn cứ ' st hoặc thickest để kiểm tra tình hình như là rất nhiều mọi người có liên quan đến nó , chúng ta sẽ kết luận và các đề xuất tiếp theo sẽ là .	Nếu gao phải báo cáo về sự tiến bộ , các đề xuất sẽ là chất lượng nghèo hơn nhiều .	contradictory
Nền kinh tế có thể vẫn tốt hơn .	Nền kinh tế chưa bao giờ tốt hơn .	contradictory
Những ngọn đồi và những ngọn núi đặc biệt là thánh thần trong giáo phái của jainism .	Giáo phái của jainism ghét tự nhiên .	contradictory
Các khu vực nổi tiếng ( hoặc vùng đất ) bắt đầu được xây dựng .	Vùng đất này vẫn còn vắng mặt .	contradictory
Trong vòng giữa những nền văn hóa tuyệt vời này là một niềm đam mê cho sự liên tục .	Một niềm đam mê cho sự liên tục không phải là điều quan trọng nhất của những nền văn hóa này .	neutral
Đặt một bên sân khấu như một phương tiện vận chuyển ngựa , một món ăn phổ biến , một phần của tên lửa , và một cơ hội để chế nhạo gail sheehy ( người có vẻ nhận được một chuyến đi miễn phí từ những người tham gia bài kiểm tra tin tức ) , câu hỏi này tất cả nhưng yêu cầu phát minh của một sự kiện sân khấu bạo lực , và điều đó không dễ dàng gì .	Gail sheehy là một mục tiêu phổ biến cho sự nhạo báng trên các chương trình khác .	neutral
Entreaties đến nhà chủ của căn hộ đã không đi đâu hết .	Chủ sở hữu của căn hộ rất phản hồi .	contradictory
Bà Cavendish đang ở trong phòng của mẹ chồng bà ấy .	Bà Cavendish đã rời khỏi tòa nhà .	contradictory
Nhưng tôi nghĩ là anh đã thề sẽ bỏ cà-Phê .	Tôi tưởng anh đã thề sẽ uống thêm cà-Phê .	contradictory
Lúc nào chúng ta cũng bốc mùi .	Chúng ta lúc nào cũng bốc mùi .	entailment
Trong một thế giới ngày càng ngài , nhiều vấn đề khẩn cấp mà ảnh hưởng đến người mỹ có thể được chỉ định thông qua sự hợp tác với các quốc gia khác .	Chúng ta nên độc lập và tránh xa việc nói chuyện và làm việc với các quốc gia khác .	contradictory
Ca ' daan vẫn tiếp tục .	Ca ' daan đã từ chối dừng lại .	neutral
Quy tắc yêu cầu người phát thanh để duy trì một tập tin để kiểm tra công khai chứa báo cáo lập trình truyền hình của trẻ em và để xác định các chương trình đặc biệt được thiết kế để giáo dục và thông báo cho trẻ em ngay từ đầu các chương trình đó và để cung cấp những thông tin như vậy cho	Quy tắc làm cho người phát thanh giữ một tập tin về chương trình truyền hình của trẻ em .	entailment
À bởi vì làm thế nào hấp dẫn tôi có nghĩa là giống như trong cái lạnh nhất mà nó sẽ được trong mùa đông dưới đó bao nhiêu là nó	Thật nóng bỏng suốt thời gian tôi sống , kể cả mùa đông .	neutral
Mỗi người đàn ông mặc áo giáp da và ăn mặc theo phong cách của những kỵ sĩ nặng nề .	Những người đàn ông trần truồng .	contradictory
Người đàn ông đáng lẽ phải chết ngay lập tức .	Người đàn ông đó hoàn toàn ổn .	contradictory
Trong mùa hè , gạo đơn một cái chăn màu xanh , sau đó quay vàng vào mùa thu khi nó được chín và đang thu hoạch .	Gạo là vàng và harvestable trong mùa hè , nhưng trở thành màu xanh lá cây trong mùa thu .	contradictory
Cũng như những người công nhân hàng ngày và những người mới , các giấy tờ xã hội chủ nghĩa từ những năm 1930 , đã được cậu với citations của marx và glowacka , giải phóng giáo dục là cậu với giấy chứng nhận cho các tương đương tự do của họ -- Friedrich hayek và ludwig von mises .	Trích dẫn từ marx đã được sử dụng trong giấy tờ xã hội chủ nghĩa vào những năm 30	entailment
Để chắc chắn rằng bất kỳ yếu tố khâu nào là bài viết chính hãng ( như phản đối với một danh sách nhập khẩu hoặc máy tính thấp kém ) , hãy tìm kiếm một con hải cẩu dẫn đầu với một m , Biểu tượng của ibtam nghĩa là nó được chứng nhận bởi cái de bordado , tapecaras e arte à sanato da madeira ( viện thêu thêu , tấm thảm , và thủ công ) , một tổ chức đảo chính thức có một showroom / bảo tàng trên rua visconde de anadia , 44 .	Có một con dấu để hiển thị xác thực trong các mặt hàng khâu được tạo ra ở ý .	neutral
Tôi không tham gia những thứ multivista này , bởi vì những gì là một số hệ thống dumpy khi so với một đẹp đẹp của mặt trời ở một nơi nào đó trên kuchara , khi so với sắc màu vàng của hành chiên với sóng kse-FI , khi so với số lượng của dividers đối với các màng tín dụng trong một ví của một người giàu có , khi so với mùi vị tuyệt vời của một briessante cuộn dunked trong sữa ngọt-Làm giàu với các chất quảng cáo các chất tiết của hooc-môn hạnh phúc , rằng một từ hai năm trước , không phải ba , ' gonzo nói trong một âm thanh đặc trưng cho một người vừa phát hiện ra một giải pháp cho cuộc sống của mình vấn đề .	Anh ta không tham gia vào những thứ multivista này bởi vì những gì là một hệ thống ngu ngốc so với mùi hương vị tuyệt vời của một cuộn băng quế trong sữa lành .	entailment
Cho dù tôi có làm gì đi nữa , tôi nghĩ tôi đã tìm ra cách nào đó trong nghề đó để làm công việc công cộng , bởi vì đó là những gì tôi được dạy , zelon nói .	Điều này giống như sử dụng các postition như là một ngân hàng để giúp tạo ra quy định tốt hơn cho công chúng .	neutral
Clark cũng bày tỏ hy vọng rằng anh ta và redgrave có thể tiếp tục với cuộc hôn nhân của họ .	Clark hy vọng anh ta có thể tiếp tục cuộc hôn nhân của họ .	entailment
Sự nghèo đói , ví dụ , không tạo ra cảm giác xấu hổ như nó làm cho những người sống ở các nước miền tây .	Nghèo đói không tạo ra một cảm giác xấu hổ ở bất kỳ quốc gia nào .	contradictory
Trở lại trên đường đến jaisalmer , một lần cuối cùng của màu sắc vui vẻ với các giác quan trước khi bạn lao vào các cánh đồng được chấm dứt với các gò của ớt đỏ nóng ớt .	Con đường đến jaisalmer là bumpy và ảm đạm để đi tiếp .	neutral
Họ đã cung cấp một số uh bạn biết rằng họ là một số nhóm ơ the vicksburg nếu bạn có cơ hội để đi đến vicksburg the battleground tại vicksburg uh có một khu vực ở đó nơi có một số nhóm Texas và họ có một thời gian thú vị ở đó	Cũng có quân đội Bắc Carolina ở vicksburg .	neutral
Ý tôi là , tôi nghĩ nó nên là bất cứ điều gì .	Tôi không nghĩ là nó nên như vậy .	contradictory
Ngoài ra , các ủy ban bồi thường cần phải hiểu được những tác động của sự bù đắp để cung cấp các ưu đãi cho quản lý để làm điều đúng đắn cho công ty và các cổ đông chống lại chính họ .	Những tác động của đền bù để cung cấp các ưu đãi cho quản lý để làm điều đúng đắn cho công ty và các cổ đông của nó chống lại bản thân nên luôn bị bỏ qua bởi các ủy ban bồi thường .	contradictory
Hoàng đế la mã thế kỷ thứ tư gratianus là một vị khách sớm , đã theo dõi nhiều sau đó bằng cách đồng như nhà thơ lãng mạn alphonse de lamartine , nữ hoàng Victoria , Saint-Sa ? ns , và rachmaninov .	Gratianus là một người la mã empoeror .	entailment
Vì vậy , tôi đã đến tòa án một mình và nói với họ sự thật , nhưng nó không làm cho tôi bất cứ điều gì tốt đẹp .	Tôi đã đi và nói sự thật tại tòa án nhưng nó không làm cho tôi tốt đẹp .	entailment
Nhấp vào thêm các liên kết ( bên phải-Tay bên dưới lặt vặt ) , và từ	Không có liên kết nào để nhấp vào dưới linh tinh .	contradictory
Và vì vậy tôi bắt đầu xem nó và tất cả đột ngột ở lại theo dõi vào tuần tới và tôi đã đi những gì	Tôi sẽ không bắt đầu theo dõi nó nếu tôi biết .	neutral
No oh no oh well take care	Tạm biệt .	entailment
Xin chào , ben . ' ' ' ' '	Tôi đã bỏ qua ben	contradictory
Làm thế nào bạn có thể chứng minh điều đó	Anh có thể cho tôi biết cách chứng minh điều đó không ?	entailment
Nó Hiển thị tất cả các loại xe , từ huấn luyện viên đã đưa napoleon đến và từ moscow vào năm 1812 đến một chiếc xe renault 4 mã lực tuyệt vời từ 1904 và những cổ điển khác nhau của thế kỷ .	Triển lãm chỉ hiển thị những chiếc xe từ những năm 2000	contradictory
Theo hành chính này , các cuộc họp thị trấn đã giúp cải thiện mức độ hài lòng của khách hàng bởi vì các cựu chiến binh đã xác định được mối quan ngại quan trọng nhất đối với họ , đã đạt được quyền truy cập trực tiếp vào các nhân viên vba làm việc trên các tuyên bố lợi ích của họ , và tốt hơn là	Các cuộc họp chính đã giúp cải thiện mức độ hài lòng khách hàng của mình , nói rằng hành chính .	entailment
À thấy mà không quá tệ một vài giờ	Tôi không thích chờ đợi . Thậm chí trong 10 phút nữa .	contradictory
Ở phía đông , lực lượng thiên chúa giáo đã bị rút lui như một sức mạnh của moslem mới bắt đầu nổi lên .	Mặc dù lực lượng thiên chúa đã mạnh mẽ hơn , họ đã bị rút lui .	neutral
Chúng tôi đã được nói về thẩm quyền cao cấp mà thực sự từ thiện vaunteth không chính nó	Chính xác là từ thiện , chúng tôi đã được kể .	contradictory
Phải , và phải làm gì khi họ đối mặt với nó .	Họ sẽ phải đối mặt với áp lực và sẽ cần phải nói là không .	neutral
Với Luật sư một năm ra khỏi trường tốt nghiệp phải đối mặt với một khoản nợ trung bình chỉ ít hơn $ 90,000 và bắt đầu lương tại các tổ chức trợ giúp pháp lý trung bình 31,000 đô la , họ không đủ khả năng cho công việc .	Luật sư mới có món nợ của trường luật lớn .	entailment
Ở đây anh sẽ thấy một cái đầu bị cắt , một con dê hai đầu , và một bức tượng của Marilyn Monroe đã làm bằng tiền bạc , trong số những sự hiếu kỳ khác .	Một trong những người hiếu kỳ là một con dê hai đầu .	entailment
Thẩm phán thứ năm , Charles Adams đáng kính của tòa án cấp cao của quận coconino , đồng ý , nhưng rất nản lòng tự đại diện .	Tự đại diện được khuyến khích bởi charles adams đáng kính .	contradictory
Anh ta hầu như đang đi chơi với một nhóm người lớn tuổi , nam da đen , người gọi anh ta là người nhảy và mèo đen .	Nhóm của những người mà anh ta muốn đi chơi cùng cho anh ta một biệt danh nhảy cầu .	entailment
Thị Trấn Spa sang trọng này trên bờ vực của lac du bourget đã đề nghị chữa bệnh thấp khớp và các bệnh khác trong nhiều thế kỷ .	Thị trấn này chỉ được thành lập trong năm qua .	contradictory
Đúng vậy đó là một thành phố đẹp và nhưng vấn đề giống như là ví dụ đầu tiên khi tôi còn trẻ họ đã đưa tôi đến Las Vegas và đó là nơi nhàm chán nhất trên trái đất	Tôi nghĩ Las Vegas là nơi nhàm chán nhất mà tôi biết .	entailment
' bớt ồn ào đi .	Xin hãy im lặng .	entailment
Tôi sẽ có thể tự làm quần áo của riêng mình .	Tôi sẽ có thể tự làm quần áo của mình .	entailment
Con sông chơi một vai trò trung tâm trong tất cả các chuyến thăm đến Paris .	Dòng sông là trung tâm của tất cả các kỳ nghỉ đến Paris .	entailment
Đáng lẽ họ phải là song ngữ .	Đáng lẽ họ phải là song ngữ .	entailment
Oh , czarek , nhưng sẽ xảy ra với chúng ta chứ ?	Czarek không được hỏi bất kỳ câu hỏi nào vào ngày hôm đó .	contradictory
Hóa ra , tôi đã không hoàn toàn sai .	Tôi đã có 100 % sai lầm .	contradictory
tôi thắng , tôi là một đống luật lớn ...	N / a	contradictory
Trong bất kỳ trường hợp nào -- Nó đã kết thúc .	Mọi chuyện kết thúc rồi .	entailment
Thảo dược giải nén cho thấy sự thành công trong việc điều trị chứng mất trí nhẹ và ngăn chặn mất trí nhớ của bệnh alzheimer .	Giải nén thảo dược không tốt bằng cách đối xử với chứng mất trí .	contradictory
Sau khi một tia chớp chiến thắng đối với quân đội pháp đã chuẩn bị , Quân Đức đã hành quân trên Paris và tình dục bao vây thành phố , cuối cùng cũng được chấp nhận vào tháng 1871 năm 1871 trong khuôn mặt của việc giảm lương thực phẩm .	Paris thật bất hạnh khi phải đầu hàng với bọn đức .	neutral
Đó là lý do tại sao biểu tượng có sức mạnh mà họ đã có .	Đó là lý do tại sao chúa di chuyển tôi .	contradictory
Quan trọng đối với quá trình phát triển sản phẩm là hoạt động kích hoạt việc bắt giữ thiết kế cụ thể và sản xuất kiến thức và quyết định để xác định nếu kiến thức bị bắt sẽ hỗ trợ đầu tư tăng cường cần thiết để chuyển sang giai đoạn phát triển tiếp theo hoặc vào tác phẩm .	Những kiến thức bị bắt sẽ quyết định nếu bước tiếp theo là tiến bộ phát triển hay tác phẩm khác .	entailment
Nói rằng tôi đã ngu ngốc tự hào .	Niềm tự hào của tôi thật ngớ ngẩn không được tốt đẹp .	entailment
Lời nói đã lấp đầy đầu anh ta như thể cô gái đã thầm trực tiếp vào cả hai tai .	Cô gái đã nói chuyện rất lặng lẽ .	entailment
Và rất nhiều quy tắc và quy định của họ không rõ ràng nên chúng tôi có quản lý môi trường của chúng tôi , người hỗ trợ các tacb được đặt ở Austin trong viết và xem những gì chúng tôi đã làm ở đây tại ti	Các quy tắc không thực sự rõ ràng nên chúng tôi yêu cầu quản lý của chúng tôi để được giúp đỡ .	entailment
Trong số đó là cung điện hoàng gia đỏ , hiện tại các nhà bảo tàng patan ( bảo tàng tuyệt vời nhất và hiện đại nhất ) , và , đối mặt với cung điện vượt qua khu vực gạch hẹp , tám ngôi đền của các kiểu dáng và kích cỡ khác nhau .	Bảo tàng patan đang xuống đường từ cung điện đỏ hoàng gia .	contradictory
Đúng là kiểu như ở louisiana ở đâu đó ơ gã đó giống như một thành viên ku klux klan thành viên gì đó đã được bầu ra loại đáng sợ khi bạn nghĩ về điều đó	Một thành viên ku klux klan đã được bầu ở louisiana .	entailment
Hoặc ít nhất họ cố gắng và làm điều gì đó về điều đầu tiên	Ít nhất họ cũng có thể cố gắng và làm một cái gì đó về nó trước .	entailment
