premise	hypo	label
Az adatok szintézisének problémái.	Az adatszintézis problémái.	entailment
jól látod a televízión is	Ezt láthatja a televízióban is.	entailment
Vrenna és én mindketten harcoltunk, és majdnem elvitt minket.	Sem Vrenna, sem magam nem harcoltak vele.	contradictory
Ez az elemzés a két tanulmány becsléseit egy C-R függvény kifejlesztése céljából kapcsolta össze, amely összeköti a PM-et a krónikus bronchitissel.	Az elemzés bizonyítja, hogy nincs kapcsolat a PM és a hörghurut között.	contradictory
Megfordult és Vrennára mosolygott.	Vrennára mosolygott, aki lassan mögötte sétált az anyjával.	neutral
Arra törekedtünk, hogy az ügynökségek által az elmúlt 5 évben általánosan alkalmazott gyakorlatokat azonosítsuk.	Az ügynökségek által az elmúlt 5 évben általánosan használt gyakorlatokat szeretnénk azonosítani	entailment
A többi férfi megrázta.	A többi férfit körülvették.	entailment
Az államoknak indokolt előrehaladást kell mutatniuk az állami végrehajtási tervekben a kongresszus által megkövetelt cél felé, hogy visszatérjenek a természeti feltételekhez a nemzeti parkokban és a vadonban.	Nem szükséges a javulás.	contradictory
nagyon érdekes volt	Nagyon érdekes volt.	entailment
Lassan elindult a bunkhouse-ba.	Lassan visszatért a bunkhouse-ba.	entailment
és ez egy kicsit azt hiszem, hat valami az állam, és a pite többi része máshová megy, de az állam egy bizonyos részében van, ami elég jól van, így van. Olyanok vagyunk, mint amennyire a helyi adózás megy	Nem tudom pontosan, hogy hová mennek a helyi adók.	neutral
Egy titkos receptből készülnek, melyet a mai falusiaknak adtak át Mallorcai őseik, akik a 17. század elején egy hivatalos újratelepítési rendszer részeként jöttek ide.	A Mallorcai ősöktől átadott recept mindenki számára ismert.	contradictory
igen, te igazán diák vagy	Nos, mechanikus diák vagy?	neutral
tényleg hallottam valamit, ami azt állította, hogy óriási kampányt indít New Yorkban a gyermekek bántalmazásáról és a gyermekek bántalmazásának megállításáról, és úgy tűnik, mintha egy nagy országos kampány lenne, és tudod így remélhetőleg ez lesz, és tényleg csinál valamit, amit nem tudok ott	Sajnálatos, hogy senki nem szervez gyermekbántalmazási kampányt.	contradictory
A postai szolgáltatás csökkentette a szállítási gyakoriságot.	A postai szolgáltatás ritkábban tudna szállítani.	entailment
A gazdaság másik elmozdulásában azt találták, hogy a bárányokat költséghatékonyabban lehet emelni az alföldi gazdaságokban, részben a gazdagabb, táplálóbb legelők miatt, és ennek eredményeként a Lakeland gazdaságok kevésbé nyereségesek lettek.	A gazdaság másik elmozdulása több táplálónak bizonyult.	entailment
A szabály olyan információgyűjtési követelményeket tartalmaz, amelyek lehetővé teszik az EPA számára annak megállapítását, hogy a betétek szabályozásában hatékony mosószer-adalékanyagokat használnak-e, és hogy a kibocsátáscsökkentési célokat megvalósítják.	A szabály olyan adatgyűjtési követelményeket tartalmaz, amelyek segítik az EPA-t a kibocsátáscsökkentési célok megvalósításában.	entailment
Szinte minden dombon északkelet van egy mór erőd; a kikötő bejáratát legalább négy romos erőd védi; és még két, még mindig jó állapotban lévő Atalaya és Galeras várak védik a tenger elülső arzenálját, amely létfontosságú a spanyol hadsereg számára.	Nincsenek Atalaya és Galeras várak.	contradictory
Ott voltak?	Vajon ott kellene lennie?	neutral
Felicia útja a középső fiatal ír lány, Felicia szemei mögött zajlik, aki a tengerbe Anglia felé halad, reménykedő küldetésében, hogy megtalálja a születendő gyermekének apját; és a kövér, középkorú vendéglátó menedzser, Hiditch, aki az apa iránti érdeklődését veszi észre, amikor világossá válik, hogy a fiatalember caddishly adta neki a csúszást.	A nő nem érdekelte, hogy az ember mennyi ideig tartott.	contradictory
A kriptában Voltaire és Rousseau, Hugo és Zola maradványait, Jean Jaurys szocialista vezetőt és Louis Braille-t, a vakok ábécé feltalálóját meggyilkolták.	Voltaire és Rousseau, Hugo és Zola maradványai, meggyilkolt szocialista vezető, Jean Jaurys és Louis Braille mindannyian eltűnnek a kriptában.	entailment
van egy pár, amit um ohnak hívok, elfelejtem a nevét, most, Dirkson	Nem emlékszem a nevükre	entailment
Poirot, felkiáltottam, megkönnyebbüléssel, és mindkét kezével megragadtam őt a szobába.	Poirot most visszatért, és sajnálom, hogy átveszi a saját vizsgálataimat.	contradictory
Az aswan szó valójában az ókori egyiptomi kereskedelmet vagy piacot jelenti, ami a legjelentősebb tevékenységét jelenti.	Asszuán jelentése nem változott az idő múlásával.	contradictory
jól tudja, mit tud a piac elviselni	A piac nem viselhet semmit.	contradictory
Ahhoz, hogy megmutassuk, milyen gyorsan vonzódnak a japán új uralkodók, két büntető expedíciót indítottak Korea és Kína ellen a 19. századi fegyverhajó diplomácia nagyszerűen.	Japán új uralkodói gyorsan felzárkóztak.	entailment
Amikor a vagyonkezelői alap 2016-ban kezeli a készpénzhiányt, a kormány egészének készpénzt kell készítenie a társadalombiztosítás pénzforgalmi hiányának finanszírozására azáltal, hogy csökkenti a nem társadalombiztosítási többletet, a nyilvánosságtól való kölcsönvételt, egyéb adókat emel, vagy más kormányzati kiadások csökkentése.	A közvélemény általában jobban szeretne látni, hogy a kormány csökkenti kiadásait más területeken a szociális biztonság finanszírozása érdekében.	neutral
Ezek a szervezetek időt és energiát fektetnek a folyamatok megértésére és arra, hogy ezek a folyamatok hogyan járulnak hozzá vagy akadályozzák a küldetés megvalósítását.	Ezek a szervezetek sok időt fordítanak arra, hogy megértsék, hogy egyes folyamatok miként járulhatnak hozzá vagy segíthetnek	entailment
és jó mindannyian igazságos beszélni	Minden nap beszélek veled.	neutral
Hozzáférhetsz a tényekhez.	A tények elérhetők.	entailment
Környezet építése Mérnöki gyártás Termelés (minden sebességű szerszám) (1. szerszámkészlet)	Ez az első gyártási szerszámkészlet.	entailment
Mindaddig, amíg megvan a saját háztartása, a szomszédok költési szokásaira való rángatás nagyon hasonlít a nappali szőnyegének színére.	A szomszéd szőnyegének színe miatt aggódnia kell.	contradictory
igen, persze ők is csatlakozhatnak ahhoz a katonai szolgálathoz, amelyre úgy gondolják, hogy állampolgárok	Nem csatlakozhatnak a katonai szolgálathoz	contradictory
Elmosolyodott.	Annyira boldog volt, hogy nem állhatott meg mosolyogva.	neutral
Az Egészségügyi Finanszírozási Igazgatóság aktuáriusának irodája szerint a jövőbeli kiegészítő források becsült nettó jelenértéke, amely a HI ellátások finanszírozásához szükséges a 75 év alatt, 4 dollár.	A jövőbeli kiegészítő források nettó jelenértéke a HI-támogatások finanszírozására 4 dollár volt.	entailment
Így a kongresszus a bírósági szolgálatokkal kapcsolatban finanszírozott, nincs alternatív csatornája az érdekképviseleti kongresszus kifejezésének korlátozására.	Ez az egyetlen olyan megnyilvánulási csatorna, amelyet a kongresszus korlátozni kíván.	entailment
Hogyan oldjuk meg ezt? '	Meg tudjuk oldani ezt?	entailment
de ez túl sok tervezést igényel	Nem sok tervez.	contradictory
Nem beszéltem Monicáról az előadásomban, de az első kérdésem, amit megkérdeztem, az volt, hogy Clinton elnök végezhesse munkáját a Monica Lewinsky ügy által okozott összes zavaró hatással.	Bármilyen gond nélkül el akartak jutni az előadáson.	neutral
A postai szolgáltatás számláinak elemzése a városi szállítási fuvarozók értékcsökkenésére, üzemanyagára és karbantartására vonatkozóan, becsültük az átlagos városi szállítási költséget egy útvonalon.	A vezetési költségbecslések átlagolása elegendő adat.	neutral
Mert gyermekkori képzeletemben játszik.	A művészet a fiatal képzeletemen játszik.	neutral
lassú, hogy most már sok jobb gép van a piacon	Ez a leggyorsabb gép, nem talál jobb gépet.	contradictory
A szentély szívében egy kis gránit szentély tartotta magát Horus szent barokkának.	Horus isten.	neutral
Fontolja meg az Egyesült Államok postai szolgálatát.	Felejtsd el az Egyesült Államok postai szolgálatát.	contradictory
Teljes ruha.	Egy kabalája ruha viselése.	neutral
Bár az utazása nehéz lesz, és időnként kétségbe vonja magát, az ügyfelek számára nyújtott előnyök megéri, és az elégedettség, hogy még az ellenséges leginkább rettenetesek meghallgatása is azt mondja, hogy az új rendszer jobb, mint az, ami korábban elment. jutalmazza.	Az új rendszer sokkal összetettebbnek tűnik, de végül könnyebb és alaposabb.	neutral
Vegyünk egy figyelemre méltó statisztikát, amit Shesol idéz, de viszonylag nem vizsgálja meg.	Adataik nagyon relevánsak voltak, de nem használták.	entailment
Talán mannának tűnt a mennyből - akár több ezer dollárt, gyakran váratlanul, egy félmillió Kentucky és Indiana lakosának kezébe.	A kongresszus által javasolt új törvény több ezer dollár lefoglalását eredményezte Kentucky lakosoktól.	contradictory
Szerezd meg az egyéneket, hogy fektessék be idejüket, és a finanszírozás következik.	Ha az egyének befektetik idejüket, akkor a finanszírozás is megtörténik.	entailment
gyakran gondolom, hogy a gee-nek azt szeretném, ha van egy videokamera, mert biztosan használhatnék tízezer dollárt, de szeretem olyan dolgokat, mint az esti árnyék Burt Reynolds-szal, amit igazán élvezek, és	A videokamerák, amelyekre szükségem van, nagyon drágák.	neutral
A földön lévő ember egy pillanatra gondolkodik, és visszahúzódik, a menedzsmentben kell dolgoznia.	Senki sem volt a földön, férfi vagy nő.	contradictory
Ha azonban az értékelési kérdés megköveteli a GAO-tól, hogy számoljon be arról, hogy mennyire kielégítő az előrehaladás, vagy a végrehajtás problémáinak okai, annál több munkatársa lehet az idővel a helyszínen, a ricHe vagy a legvastagabb alapja a helyzet megvizsgálására, mint a sok az érintettek látják, az okosabb következtetéseink és a későbbi ajánlások lesznek.	Ha a GAO-nak jelentést kell tennie az előrehaladásról, az ajánlások sokkal rosszabb minőségűek lesznek.	contradictory
A gazdaság még jobb lehet.	A gazdaság soha nem volt jobb.	contradictory
A hegyek és a hegyek különösen szenteltek a jainizmus kultuszában.	A Jainizmus kultusza gyűlöli a természetet.	contradictory
A híres bérházak (vagy földek) épültek.	A föld elhagyatott maradt.	contradictory
A kultúrák csodálatos amalgámja közepette a folytonosság iránti szenvedély.	A folytonosság iránti szenvedély nem ezeknek a kultúráknak a legfontosabb.	neutral
Ez a kérdés mindenképpen csak egy lóverseny, egy népszerű csemege, egy rakéta része, és egy lehetőség arra, hogy Gail Sheehy-t (aki úgy tűnik, hogy szabadon utazik a Hírek kvíz résztvevőitől), kigondolta, erőszakos színházi esemény, és ez nem könnyű.	Gail Sheehy népszerű célpont a többi előadásokra.	neutral
A lakás tulajdonosának jogai nem mentek sehol.	A lakás tulajdonosa nagyon érzékeny.	contradictory
Mrs. Cavendish az anyja szobájában van.	Mrs. Cavendish elhagyta az épületet.	contradictory
De azt hittem, megesküdtél a kávéból.	Azt hittem, hogy több kávét iszik.	contradictory
Egész idő alatt bűzlik.	Mindig bűzlik.	entailment
Egy egyre inkább kölcsönösen függő világban az amerikaiakat érintő számos sürgető probléma csak más országokkal való együttműködés révén kezelhető.	Függetlenül kell lennünk, és távol kell maradnunk a beszélgetésektől és más nemzetekkel való munkától.	contradictory
Ca 'daan folytatta.	Ca 'daan nem volt hajlandó megállítani.	neutral
A szabály előírja a műsorszolgáltatók számára, hogy a gyermek televíziós programozói jelentést tartalmazó nyilvános ellenőrzési aktust tartsanak fenn, és azonosítsák azokat a programokat, amelyek kifejezetten a gyermekek oktatására és tájékoztatására szolgálnak a programok elején, és ezeket az információkat a programvezetők kiadóinak nyújtják be.	A szabály teszi a műsorszolgáltatókat a gyermekek televíziós műsorairól.	entailment
Jól van, mert mennyire forró, mint a leghidegebbben, hogy télen ott lesz, mennyi van	Meleg az idő, ahol élek, beleértve a télet is.	neutral
Mindegyik férfi bőrpáncélt viselt, és a nehéz lovasok stílusában öltözött.	A férfiak meztelenek voltak.	contradictory
Az embernek azonnal meg kellett volna halnia.	A férfi tökéletesen rendben volt.	contradictory
Nyáron a rizs zöld, bársonyos takarót képez, majd ősszel aranyossá válik, amikor érik és betakarítják.	A rizs nyáron arany és betakarítható, ősszel zöldre vált.	contradictory
Ahogy a Daily Worker és az New Masses, az 1930-as évek szocialista papírjait Marx és Engels idézeteivel írták, az Oktatási Liberátort a liberális egyenértékűek - Friedrich Hayek és Ludwig von Mises.	A marxi feliratokat a 30-as években a szocialista papírokban használták.	entailment
Annak érdekében, hogy minden kézimunka a valódi cikk legyen (az alacsonyabb behozatali vagy gépi darabokkal szemben), keresse meg az ólomtömítést egy M, az IBTAM jelképével, ami azt jelenti, hogy azt az Instituto de Bordado tanúsította, Tapecaras e Arte? sanato da Madeira (Madeirai Hímzés-, Kárpit- és Kézműves Intézet), egy hivatalos szigetszervezet, amely bemutatóteremmel / múzeummal rendelkezik a Rua Visconde de Anadia-n, 44.	Van egy pecsét, amely az olaszországi kézimunka tárgyainak hitelességét mutatja.	neutral
Nem vagyok ebben a Multivista cuccban, mert mi van egy kis dombos rendszer, ha a nap valahol a Kucharánál elhelyezkedő gyönyörű hiperextúrához hasonlít, összehasonlítva a kse-fi hullámokkal sült hagymás arany színárnyalattal. a gazdag ember pénztárcájában levő hitelmembrán-elválasztók, összehasonlítva a boldogsághormonok szekrécióját fokozó anyagokkal szintetikusan gazdag, egészséges tejet tartalmazó briessante-tekercs csodálatos szagával, hogy az egyik két évvel ezelőtt, nem pedig három - mondta Gonzo olyan emberre jellemző hangon, aki éppen az életproblémájának megoldását fedezte fel.	Nem ebben a multivista cuccban van, mert mi az, ami néhány dohányos rendszer, összehasonlítva az egészséges tejet tartalmazó fahéjas tekercs csodálatos szagaival.	entailment
Nem számít, hogy mit csináltam, azt hiszem, valamilyen módon találhattam volna a szakmában a közmunkát, mert ezt tanítottam, mondta Zelon.	Ez olyan, mintha a posztort bankárként használná, hogy segítsen a szabályozások jobbá tétele a nyilvánosság számára.	neutral
Clark is reményét fejezte ki, hogy ő és Redgrave folytathatják a házasságukat.	Clark remélte, hogy folytathatja a házasságát.	entailment
A szegénység például nem hozza létre a szégyenérzetet, mint a nyugati országokban élő emberek számára.	A szegénység nem teremt szégyenérzetet egyetlen országban sem.	contradictory
Visszatérve a Jaisalmer felé, egy utolsó színcsillag gyönyörködik az érzékekkel, mielőtt belevetsz a mezőkbe, a vörös forró chili paprika dombjaival.	A Jaisalmer felé vezető út bumpy és kellemetlen a lovagláshoz.	neutral
tudták, hogy vannak olyan csoportok, akik tudták, hogy vannak csoportok, a Vicksburg, ha valaha is kapsz esélyt, hogy Vicksburgba menjen a Vicksburg-i csatatérre, ahol van egy olyan terület, ahol ott volt néhány Texas uh csoport, és ott volt egy érdekes időük	Vicksburgban Észak-Karolina csapatok is voltak.	neutral
ami azt jelenti, hogy azt hiszem, ez egyébként is	Nem hiszem, hogy így kellene lennie	contradictory
A kártérítési bizottságoknak meg kell érteniük a kompenzáció következményeit, hogy ösztönözzék a vezetést, hogy tegyék meg a helyes dolgot a vállalat és a részvényesei ellen, szemben a saját magukkal.	A kártérítési bizottságoknak mindig figyelmen kívül kell hagyniuk a kompenzációnak a vezetés számára a cég és a részvényesek számára a helyes dolog érdekében történő ösztönzését.	contradictory
Gratianus negyedik századi római császár korai látogató volt, ezt sokkal később az ilyen lámpák követték, mint Alphonse de Lamartine romantikus költő, Victoria, Queen-Saint-Sa? - és Rachmaninov.	Gratianus római birodalom volt.	entailment
Szóval én magamhoz mentem a bírósághoz, és elmondtam nekik az igazságot, de nem tett semmit jó.	Elmentem és elmondtam az igazságot a bíróságon, de ez nem tett semmit.	entailment
Kattintson a További linkekre (a jobb oldalon, a Egyéb) alatt, és a	Nincsenek linkek a Egyéb alatt.	contradictory
és így elkezdtem figyelni, és hirtelen a következő héten hangoltam, és elmentem	Nem is kezdtem volna nézni, ha tudnám.	neutral
nem ó, nem ó, vigyázz	Na jó, szia .	entailment
- Helló, Ben. '	Nem vettem figyelembe Ben-t	contradictory
hogyan tudod bizonyítani	El tudja mondani, hogyan kell bizonyítani?	entailment
Mindenféle járművet jelenít meg az edzőtől, amely a Napóleont 1812-től Moszkvába szállította, és egy csodálatos 4-lovas Renault-autóra 1904-től és más századfordulós klasszikusoktól.	A kiállítás csak a 2000-es évek autóit mutatja be.	contradictory
E végrehajtó szerint a városháza találkozói segítettek az ügyfelek elégedettségének javításában, mivel a veteránok azonosították a számukra fontosabb problémákat, közvetlen hozzáférést kaptak a VBA munkatársaihoz, akik a juttatási igényeiken dolgoztak, és jobban megértették a követelések folyamatát.	A saját terem találkozói segítették az ügyfelek elégedettségének javítását, mondta a végrehajtó.	entailment
jól látom, hogy nem túl rossz egy pár óra	Nem szeretem várni, még 10 percig sem.	contradictory
Keleten a keresztény erők visszavonultak, amikor egy új muszlim hatalom kezdett emelkedni.	Bár a keresztény erők erősebbek voltak, visszavonultak.	neutral
Megmondták, hogy az igazi jóhiszeműség azt jelenti, hogy az igazi jótékonyság nem önmaga	Igazi jótékonysági magatartás maga, azt mondták.	contradictory
igen, és mit tegyek, ha vele találkoznak	Szembesülnek egymással, és nem kell.	neutral
Az ügyvédek egy évvel a végzősiskolából az átlagosan kevesebb, mint 90 000 dollárral szembeni adóssággal és a jogi segítségnyújtó szervezetek számára fizetendő, 31 000 dolláros átlagkeresettel rendelkeznek, nem tudták megfizetni a munkát.	Az új ügyvédeknek hatalmas törvényi adóssága van.	entailment
Itt egy összezsugorodott fejet, egy kétfejű kecskét és egy Marilyn Monroe szobrát látunk, amely aprított pénzből készült, többek között az érdekességek között.	Az egyik érdekesség a kétfejű kecske.	entailment
A csütörtök bírája, a Coconino megyei Superior Bíróság tisztelt Charles Adams, egyetértett, de rendkívül visszafogott önmegjelenítéssel.	Az önreprezentációt a tisztelt Charles Adams ösztönözte.	contradictory
Leginkább régebbi, déli fekete férfiakkal csoportosul, akik Jumpernek és Black Catnak hívják.	A srácok, akikkel hajlamosak lógni, megadta neki a jumper nevet.	entailment
Ez az elegáns fürdőváros a Lac du Bourget szélén évszázadok óta gyógyítja a reumát és más betegségeket.	A város csak az elmúlt ötven évben jött létre.	contradictory
Jól van, ez egy szép város, de a probléma olyan, mint az első példa, amikor fiatal voltam, hogy elvittek Las Vegasba és ez volt a leg unalmasabb hely a földön	Azt hiszem, Las Vegas a leg unalmasabb hely, amit tudok.	entailment
- Kevésbé hangos.	Kérjük, legyen csendes.	entailment
képes leszek a saját ruháimat készíteni	Képes vagyok készíteni saját ruhámat.	entailment
A folyó központi szerepet játszik minden párizsi látogatásban.	A folyó minden Párizsi vakáció számára központi.	entailment
kétnyelvűnek kell lenniük	Kétnyelvűnek kell lenniük	entailment
Ó, Czarek, de meg fog történni velünk?	Czarek nem kapott fel kérdéseket ezen a napon.	contradictory
Kiderült, nem voltam teljesen rossz.	100% -ban tévedtem.	contradictory
Native 'Me győzelem, én passum heap nagy törvény ...	n / a	contradictory
"Mindenesetre - vége. """	Vége .	entailment
A gyógynövény kivonat az enyhe demencia kezelésében és az Alzheimer-károsodás megakadályozásában sikeres.	A növényi kivonat nem elég jó a demencia kezelésében.	contradictory
A gyengén felkészült francia hadseregek fölötti villámgyőzés után a németek Párizsba meneteltek, és ostromoztak a városra, amely végül 1871 januárjában felkeltette az élelmezés csökkenését.	Párizs boldogtalan volt, hogy átadja magát a németeknek.	neutral
Ez az oka annak, hogy az ikonoknak van a hatalmuk.	Ezért mozog engem Isten.	contradictory
A termékfejlesztési folyamat szempontjából kritikusak voltak azok a tevékenységek, amelyek lehetővé tették a konkrét tervezési és gyártási ismeretek és döntések áttekintését, hogy meghatározzák, hogy a megszerzett ismeretek támogatják-e a következő fejlesztési szakaszba vagy a termelésbe való átmenethez szükséges nagyobb beruházásokat.	A megszerzett tudás meghatározza, hogy a következő lépés a továbbfejlesztés vagy a gyártás.	entailment
Azt mondta, bolondosan büszke voltam.	A büszkeségem hülye volt, nem helyes.	entailment
A szó megtöltötte a fejét, mintha a lány mindkét fülébe suttogott volna.	A lány nagyon csendesen beszélt.	entailment
és sok szabályuk és szabályzata nem igazán világos, így a környezetvédelmi vezetőnk segíti a TACB-t, amely írásban írta Austinban, és nézze meg, mit tettünk itt a TI-ben	A szabályok nem igazán világosak, ezért segítséget kérünk vezetőnktől.	entailment
Ezek közé tartozik a vörös tégla királyi palota, amely jelenleg a Patan Múzeumot (Nepál legszebb és legmodernebb múzeuma) foglalja el, és a palotára nézve a szűk téglafelületen, nyolc különböző stílusú és méretű templom.	A Patan Múzeum az utcán, a vörös téglából épült királyi palotából áll.	contradictory
igen, ez olyan, mint Louisiana-ban, ahol ez az a fickó, aki olyan, mint egy Ku Klux Klan-tag, valamit ijesztőnek választott, amikor erre gondolsz	A Ku Klux Klan-tagot Louisiana-ban választották.	entailment
vagy legalábbis megpróbálnak először valamit tenni	Előfordulhat, hogy legalább megpróbálnak valamit tenni.	entailment
én nem vagyok igazán lenyűgözve azzal, hogy három évig Németországban éltem, én nem vagyok lenyűgözve a síelésről, mint én szeretem, hogy szeretem a téli sportokat, de nem vagyok igazán izgatott róluk	Nem vagyok a téli sportok nagy rajongója.	entailment
Ez az általános oktatás iránti elkötelezettség - a kurzusok sorozata, amely a különböző szakterületeken a kritikus gondolkodás fejlesztésére irányul - szemben a korai specializációval.	Az általános oktatás középpontjában a tanulók kritikus gondolkodási képességeinek fejlesztése áll.	entailment
Az elméletileg elterjedt szállítási gazdaságok nem specifikusak.	A skálagazdaságok rugalmasak.	neutral
A nemzeti megtakarítás a régi gyárak és berendezések cseréjéhez, valamint a több és jobb tőkeeszközök megvásárlásához szükséges befektetési források.	A régi gyárak és berendezések soha nem cseréltek, még akkor sem, ha nemzeti megtakarítások voltak.	contradictory
Mások panaszkodnak, hogy a szupersztárok a dombon vannak, és középszerű munkát végeznek.	Senki sem panaszkodik a szupersztárokról.	contradictory
A szigorú módszertanokkal való együttműködés fontos, de ezeknek az együttműködéseknek arra kell összpontosítaniuk, hogy mit lehet elérni az ED beállításban.	A szigorú módszertanokkal való együttműködés fontos.	entailment
tudod, hogy demográfiai tanulmányaik azt mutatják, hogy tudják, hogy mindenki IQ drámaian csökkent, vagy valami	A tanulmányok azt mutatták, hogy az IQ megnövekedett.	contradictory
A szövetségi pénzügyi szervezetek támogatása nélkül a programvezetők nem tudják meghatározni vagy megvédeni a kormányzati tevékenységekből eredő költségeket vagy azok előnyeit.	A szövetségi pénzügyi szervezetek a legjobb információforrás a programvezetők számára.	neutral
Az unióban Kanadában mintegy 4000 tag van.	A Kanadában élő közösségben 100 tag van.	contradictory
de aztán elkezdtük figyelni, és mint az újok, nagyon hűvösek, mert azért, mert olyanok, mint a különlegesek, mint amilyenek különösen a dolgok, mint a fasz a fejeddel	Az újaknak vannak dolgai, amik meg tudnak dugni az elméd.	entailment
2000-ben a GNP kisebb volt a GDP-nél, mert a világ többi részéből származó bevételek kevesebbek voltak, mint a világ többi részén elért amerikai kifizetések.	Az USA többet fizetett a világ többi részénél, mint a világ többi részénél.	entailment
"Van-e olyan tipp, amellyel adjon minket, mielőtt kiürülnénk? """	Bármi, amit tudnunk kell?	entailment
és egyre több pénzt szereznek tőlünk, és emberek, és nem kapnak ösztönzést arra, hogy dolgozzanak, ha csak ötven százalékot veszünk belőle.	Az embereknek sok ösztönzőjük van arra, hogy dolgozzanak, mert minden pénzt keresnek haza.	contradictory
Túlságosan erősen függtek a második nagy fertőzés elvétől, és úgy tűnt, hogy a jelek és házak, valamint a bolygók tanfolyamai között valamiféle társulásba kerültek.	A bolygók jelei, házai és tanfolyamai nagy hatással vannak a mindennapi életre.	neutral
Gondolom, hogy a pénzügyi tervezőknek most már körülbelül négy éve volt a képzésünk, és az életünk és a mi életünk egyaránt összhangban van a hitelkártyák kezelésével, hogy hogyan mondjuk el a pénzpiacokat és az ilyen dolgokat.	A pénzügyi tervezők nem segítik az embereket hitelkártyával kapcsolatos kérdésekben.	contradictory
Richardsonnak, hogy Picasso-t komoly művésznek és tiszteletreméltó embernek kell tennie (az inspirált költői gazember helyett), mindenekelőtt Picasso nőkkel való kapcsolataira támaszkodik, írja.	Picasso úriember volt, és nem inspirált költői köldök.	contradictory
- Hé, srácok - mondta Daniel szelíden.	Daniel mindenkit üdvözöl, bár félénk volt.	neutral
Oh um beszéltem valakivel San Antonio-ról	Beszéltem valakivel Dallasról.	contradictory
A ködös reggel a jelenet még inkább a múltat érinti.	Párizsban egy ködös reggel felidézi, hogy a régi időkre emlékeztető képei vannak.	neutral
A szállítás költségeinek racionalizálása miatt az Egyesült Államokban a legkevésbé lakott területek postai sűrűsége magasabb, mint Franciaország leggyakrabban lakott területeinek sűrűsége.	A postai sűrűség az adott területen szállított levélszemét mennyiségére utal.	contradictory
A versenyek április és december között kerülnek megrendezésre a Veliefendi Hippodromban, Bakerky közelében, Isztambultól 15 km-re nyugatra.	A Veliefendi Hippodrome-ban áprilistól decemberig versenyek vannak.	entailment
Az Egyesült Államokban a vízmentes ammónia előállítása 2000-ben körülbelül 17 400 000 tonna (vízmentes), 22 000 000 tonna látható fogyasztással és mintegy 4 600 000 nettó importtal, amint azt az USA 2001-es kiadása mutatja.	Az Egyesült Államok nem termel vízmentes ammóniát minden évben.	contradictory
ó igen igen, azt értem, hogy Észak-Texasban csinálják, hogy egy kicsit, ahol tudod, ha el akarsz menni ehhez a filmhez vagy koncerthez, vagy kedvezményes dolog, amit itt a nagy dolog rodeos uh ha te	Megpróbálok kedvezményes árakat kapni, amikor tudok.	neutral
